age,job,marital,education,balance,housing,loan,deposit
30,unemployed,single,secondary,2424,no,no,yes
23,student,single,secondary,1234,no,no,yes
34,management,married,tertiary,271,yes,no,yes
27,management,single,tertiary,-69,yes,no,yes
28,student,single,tertiary,1562,no,no,yes
61,self-employed,divorced,tertiary,52587,no,no,yes
27,blue-collar,single,secondary,535,no,no,yes
34,management,single,tertiary,2159,no,no,yes
52,technician,married,secondary,195,yes,no,yes
28,technician,single,secondary,154,yes,no,yes
35,management,single,tertiary,681,no,no,yes
66,retired,married,secondary,2326,no,yes,yes
52,services,married,secondary,961,no,yes,yes
26,admin.,single,tertiary,2532,yes,yes,yes
38,management,single,tertiary,455,yes,no,yes
59,self-employed,married,tertiary,2013,no,no,yes
47,blue-collar,married,secondary,1568,yes,no,yes
22,student,single,unknown,1215,no,no,yes
82,retired,married,secondary,121,no,no,yes
60,retired,divorced,secondary,1,no,no,yes
53,management,married,tertiary,597,no,no,yes
39,management,single,tertiary,763,no,no,yes
27,unknown,single,unknown,326,no,no,yes
35,management,married,tertiary,1380,no,no,yes
80,housemaid,married,primary,0,no,no,yes
47,admin.,married,secondary,368,no,no,yes
72,retired,divorced,tertiary,438,no,no,yes
45,management,single,tertiary,483,no,no,yes
37,unemployed,married,tertiary,7620,no,no,yes
29,self-employed,single,tertiary,805,no,no,yes
40,management,single,tertiary,0,yes,no,yes
32,management,married,tertiary,302,yes,yes,yes
20,student,single,secondary,215,no,no,yes
48,housemaid,married,tertiary,5473,no,no,yes
60,admin.,married,secondary,106,no,no,yes
70,retired,married,primary,2346,no,no,yes
78,retired,divorced,secondary,3219,no,no,yes
52,admin.,single,unknown,2227,no,no,yes
61,self-employed,divorced,tertiary,6610,no,no,yes
27,services,single,secondary,195,yes,no,yes
63,technician,married,secondary,973,no,no,yes
59,technician,married,secondary,7766,yes,no,yes
22,student,single,secondary,948,no,no,yes
66,management,married,unknown,2149,yes,no,yes
74,retired,married,primary,1413,no,no,yes
52,technician,married,secondary,117,no,no,yes
71,retired,divorced,secondary,0,no,no,yes
33,management,married,tertiary,71,no,no,yes
56,technician,married,secondary,1938,no,yes,yes
30,management,single,tertiary,5359,no,no,yes
73,retired,married,unknown,519,no,no,yes
28,blue-collar,single,secondary,-46,yes,no,yes
27,technician,single,tertiary,1075,no,no,yes
38,services,single,secondary,91,no,no,yes
28,technician,single,secondary,598,yes,no,yes
37,management,single,tertiary,1027,yes,no,yes
47,technician,married,primary,235,no,no,yes
60,retired,divorced,tertiary,2,no,no,yes
42,technician,married,secondary,4945,yes,no,yes
27,student,single,tertiary,311,no,no,yes
25,student,single,secondary,154,no,no,yes
90,retired,divorced,primary,712,no,no,yes
29,student,single,unknown,7585,no,no,yes
29,technician,single,tertiary,2489,yes,no,yes
63,retired,married,secondary,2896,no,no,yes
32,management,single,tertiary,354,no,no,yes
32,management,married,tertiary,2667,yes,no,yes
42,management,married,tertiary,144,no,no,yes
26,admin.,single,tertiary,760,yes,no,yes
73,retired,single,secondary,1050,no,no,yes
26,student,single,secondary,5296,no,no,yes
60,admin.,married,secondary,12980,no,no,yes
25,blue-collar,single,secondary,509,no,no,yes
64,retired,married,tertiary,1644,no,no,yes
68,retired,married,primary,451,no,no,yes
39,services,married,secondary,53,no,no,yes
40,unemployed,single,secondary,334,no,no,yes
37,management,married,tertiary,6771,no,no,yes
36,services,married,secondary,52,yes,no,yes
33,management,divorced,tertiary,2240,no,no,yes
83,retired,married,tertiary,4761,no,no,yes
31,technician,married,tertiary,1570,yes,no,yes
64,unemployed,divorced,secondary,588,no,no,yes
59,unemployed,married,secondary,957,no,no,yes
33,management,single,tertiary,224,no,no,yes
35,management,married,tertiary,2161,no,no,yes
69,retired,married,unknown,426,no,no,yes
31,management,single,tertiary,147,no,no,yes
73,retired,married,primary,508,no,no,yes
35,technician,married,secondary,294,yes,no,yes
28,management,single,tertiary,1825,no,no,yes
34,management,married,tertiary,158,no,no,yes
33,management,married,tertiary,0,yes,no,yes
36,services,married,secondary,4721,no,no,yes
44,management,married,unknown,282,no,no,yes
19,student,single,unknown,108,no,no,yes
28,management,single,tertiary,187,no,no,yes
51,blue-collar,married,primary,3764,no,no,yes
52,unemployed,married,secondary,1416,no,no,yes
61,retired,married,secondary,2801,yes,yes,yes
39,management,married,tertiary,494,no,no,yes
37,unemployed,married,secondary,1978,no,no,yes
80,retired,married,primary,155,no,no,yes
61,admin.,married,secondary,4608,no,no,yes
72,retired,married,secondary,951,no,yes,yes
36,management,married,tertiary,495,no,no,yes
74,retired,married,tertiary,1843,no,no,yes
35,blue-collar,married,secondary,262,no,no,yes
82,retired,divorced,primary,0,no,no,yes
71,retired,married,tertiary,3561,no,no,yes
38,housemaid,single,secondary,465,yes,no,yes
38,management,married,unknown,76,no,no,yes
53,admin.,married,secondary,1796,no,no,yes
29,management,single,tertiary,874,yes,no,yes
64,retired,married,primary,2140,no,no,yes
35,unemployed,single,secondary,295,no,no,yes
35,admin.,married,secondary,304,no,no,yes
46,management,divorced,tertiary,624,no,no,yes
25,blue-collar,single,secondary,303,no,no,yes
46,management,married,tertiary,273,yes,no,yes
59,management,married,tertiary,3342,no,no,yes
35,technician,single,secondary,1227,no,no,yes
22,technician,single,secondary,283,yes,no,yes
31,management,single,tertiary,3384,no,no,yes
43,management,divorced,tertiary,2367,no,no,yes
35,management,single,tertiary,5958,yes,no,yes
60,admin.,married,secondary,3735,no,no,yes
54,management,married,secondary,2693,no,no,yes
29,self-employed,single,tertiary,655,no,no,yes
30,student,single,secondary,1681,no,no,yes
28,management,single,tertiary,866,no,no,yes
43,services,married,secondary,774,no,no,yes
37,services,married,secondary,2678,no,no,yes
62,management,married,tertiary,3371,no,no,yes
57,management,married,tertiary,10583,no,no,yes
33,management,single,tertiary,4176,no,no,yes
47,management,single,tertiary,334,yes,no,yes
39,technician,single,tertiary,393,no,no,yes
30,self-employed,single,tertiary,916,no,no,yes
28,admin.,single,tertiary,832,no,no,yes
57,management,divorced,tertiary,3287,no,no,yes
23,services,single,secondary,488,no,no,yes
56,housemaid,single,tertiary,1947,no,no,yes
44,admin.,divorced,tertiary,558,yes,no,yes
80,retired,divorced,primary,235,no,no,yes
47,management,married,tertiary,288,no,no,yes
27,student,single,secondary,6036,no,no,yes
26,management,single,tertiary,3,yes,yes,yes
50,technician,divorced,secondary,0,no,no,yes
84,retired,married,secondary,81204,no,no,yes
86,retired,married,primary,5236,no,no,yes
46,management,married,unknown,2466,no,no,yes
45,technician,married,secondary,1348,no,yes,yes
60,blue-collar,married,primary,7929,no,no,yes
47,admin.,married,secondary,70,yes,no,yes
53,admin.,married,secondary,459,no,no,yes
54,technician,married,secondary,2102,yes,no,yes
19,student,single,secondary,394,no,no,yes
24,student,single,secondary,4126,no,no,yes
39,management,divorced,tertiary,224,no,no,yes
53,technician,married,tertiary,9001,no,no,yes
29,management,single,unknown,560,no,no,yes
30,management,married,tertiary,102,yes,no,yes
32,management,single,secondary,1088,yes,no,yes
33,self-employed,single,tertiary,562,yes,yes,yes
33,management,single,tertiary,718,yes,no,yes
57,retired,married,unknown,230,no,no,yes
27,technician,single,tertiary,-67,yes,no,yes
55,management,married,tertiary,3848,yes,no,yes
36,management,single,tertiary,579,no,no,yes
26,management,single,tertiary,1646,no,no,yes
31,admin.,married,secondary,1229,no,no,yes
25,unemployed,single,primary,129,no,no,yes
49,admin.,married,secondary,197,yes,no,yes
30,management,single,tertiary,3779,no,no,yes
32,management,single,tertiary,2016,no,no,yes
36,management,single,tertiary,436,no,no,yes
38,management,married,tertiary,413,no,no,yes
45,blue-collar,single,primary,116,no,no,yes
36,management,single,unknown,62,no,no,yes
23,student,single,secondary,107,no,no,yes
38,technician,married,secondary,497,no,no,yes
44,services,married,primary,2557,yes,no,yes
35,management,single,tertiary,2646,no,no,yes
75,retired,married,secondary,3771,no,no,yes
26,technician,single,tertiary,1066,no,no,yes
59,technician,married,secondary,1,no,no,yes
30,management,single,tertiary,232,no,no,yes
36,blue-collar,married,primary,1177,no,no,yes
39,technician,married,secondary,603,no,yes,yes
24,management,single,tertiary,736,yes,no,yes
22,services,single,secondary,129,no,no,yes
36,management,married,tertiary,-115,yes,no,yes
22,management,single,tertiary,104,no,yes,yes
34,management,married,tertiary,589,no,no,yes
22,student,single,primary,3472,no,no,yes
57,management,married,tertiary,2845,yes,no,yes
30,student,single,tertiary,7529,no,no,yes
55,unemployed,divorced,secondary,309,no,no,yes
38,blue-collar,divorced,secondary,0,yes,no,yes
39,blue-collar,single,secondary,1672,yes,no,yes
38,technician,single,secondary,1711,no,no,yes
24,admin.,single,secondary,1295,no,no,yes
30,student,single,secondary,2046,no,no,yes
29,blue-collar,single,tertiary,455,no,no,yes
25,student,single,unknown,722,no,no,yes
52,technician,married,secondary,371,yes,yes,yes
62,management,married,tertiary,997,no,no,yes
40,technician,married,tertiary,206,no,no,yes
76,retired,married,secondary,820,no,no,yes
31,admin.,single,secondary,410,no,no,yes
42,self-employed,married,secondary,1216,yes,no,yes
43,technician,single,unknown,11115,no,no,yes
73,retired,married,primary,796,no,no,yes
41,management,divorced,tertiary,5037,no,no,yes
77,management,married,unknown,1780,yes,no,yes
46,admin.,divorced,primary,429,yes,no,yes
35,technician,married,secondary,2779,no,no,yes
26,management,single,tertiary,222,no,no,yes
45,blue-collar,single,secondary,0,yes,no,yes
29,management,single,tertiary,1445,no,no,yes
30,technician,single,tertiary,655,no,no,yes
26,unemployed,single,tertiary,77,no,no,yes
63,blue-collar,married,primary,115,no,no,yes
37,unemployed,single,secondary,2722,no,no,yes
26,management,single,tertiary,1438,no,no,yes
54,admin.,married,unknown,140,no,no,yes
30,admin.,single,secondary,915,yes,no,yes
61,retired,married,secondary,1058,no,no,yes
69,retired,married,secondary,0,no,no,yes
76,self-employed,married,unknown,4984,no,no,yes
30,management,single,tertiary,697,no,no,yes
64,retired,married,secondary,4787,no,no,yes
55,housemaid,married,secondary,962,yes,no,yes
55,technician,married,tertiary,1320,no,no,yes
29,management,single,tertiary,2955,no,no,yes
41,unemployed,married,tertiary,0,no,no,yes
63,retired,married,primary,12067,no,no,yes
45,admin.,married,secondary,3006,no,no,yes
32,technician,single,tertiary,388,no,no,yes
41,self-employed,married,tertiary,0,yes,no,yes
37,management,married,secondary,565,no,no,yes
19,student,single,secondary,329,no,no,yes
61,retired,divorced,secondary,4243,no,no,yes
40,unemployed,single,tertiary,72,no,no,yes
30,management,married,tertiary,4328,no,no,yes
54,technician,married,tertiary,395,no,no,yes
49,admin.,married,secondary,0,no,no,yes
45,admin.,married,secondary,205,no,no,yes
48,blue-collar,married,secondary,1730,yes,no,yes
60,blue-collar,married,primary,5,no,no,yes
34,unemployed,single,secondary,1965,no,no,yes
29,housemaid,single,tertiary,19,no,no,yes
77,retired,married,tertiary,7802,no,no,yes
64,management,married,unknown,2352,no,no,yes
80,retired,married,primary,155,no,no,yes
26,technician,single,tertiary,401,no,no,yes
33,admin.,married,tertiary,79,yes,no,yes
41,technician,single,tertiary,1646,yes,no,yes
28,management,single,tertiary,437,no,no,yes
74,retired,married,secondary,935,no,no,yes
29,student,single,unknown,2929,no,no,yes
72,retired,married,primary,2304,no,no,yes
18,student,single,unknown,348,no,no,yes
46,blue-collar,married,secondary,640,yes,no,yes
37,technician,married,tertiary,88,no,no,yes
37,management,married,tertiary,2283,no,no,yes
32,technician,married,secondary,473,no,yes,yes
51,technician,married,tertiary,0,no,no,yes
77,unknown,married,unknown,397,no,no,yes
35,management,married,tertiary,62,no,no,yes
53,management,married,tertiary,3634,no,no,yes
46,management,married,tertiary,273,yes,no,yes
78,retired,divorced,secondary,3417,no,no,yes
34,technician,married,secondary,133,no,no,yes
54,management,married,tertiary,1624,no,no,yes
33,services,married,secondary,386,no,no,yes
23,student,single,unknown,2530,no,no,yes
34,technician,single,tertiary,2838,yes,no,yes
32,unemployed,single,secondary,1026,yes,no,yes
54,unknown,married,secondary,2206,no,no,yes
40,admin.,married,secondary,260,yes,no,yes
63,retired,divorced,tertiary,0,no,no,yes
37,management,married,tertiary,2987,yes,no,yes
48,blue-collar,married,secondary,1230,yes,no,yes
28,technician,single,secondary,2335,no,no,yes
35,management,married,tertiary,8000,no,no,yes
29,management,single,tertiary,-27,no,no,yes
68,retired,married,secondary,1146,no,no,yes
53,blue-collar,single,secondary,1004,no,no,yes
37,technician,single,tertiary,197,no,no,yes
58,admin.,married,secondary,169,no,no,yes
37,management,married,tertiary,393,yes,no,yes
37,admin.,married,tertiary,29,no,no,yes
34,admin.,married,secondary,920,no,no,yes
50,admin.,married,secondary,3608,yes,no,yes
56,management,married,primary,870,no,no,yes
57,retired,married,primary,9367,no,no,yes
29,unemployed,single,primary,1374,no,no,yes
75,retired,married,tertiary,6027,no,no,yes
24,management,single,tertiary,1,no,no,yes
46,management,married,tertiary,349,no,no,yes
27,student,single,tertiary,39,no,no,yes
52,management,married,tertiary,583,no,no,yes
38,management,married,tertiary,1276,no,no,yes
33,management,single,tertiary,2364,no,no,yes
53,admin.,married,secondary,53,yes,no,yes
64,retired,married,secondary,1612,no,no,yes
84,retired,divorced,primary,639,no,no,yes
62,retired,married,secondary,3114,no,no,yes
41,admin.,married,tertiary,1,yes,no,yes
29,admin.,single,secondary,1070,yes,no,yes
53,technician,married,secondary,195,yes,no,yes
30,technician,single,secondary,3144,no,no,yes
37,management,married,tertiary,3236,no,no,yes
78,retired,married,unknown,3208,no,no,yes
47,blue-collar,married,secondary,1568,yes,no,yes
61,technician,married,secondary,1191,no,no,yes
46,self-employed,married,secondary,706,no,no,yes
31,unemployed,single,secondary,2616,no,no,yes
21,student,single,secondary,215,no,no,yes
71,retired,married,primary,3230,no,no,yes
52,admin.,single,secondary,726,yes,no,yes
25,student,single,secondary,3713,no,no,yes
60,technician,married,secondary,0,no,no,yes
30,admin.,single,secondary,265,yes,no,yes
29,unemployed,single,tertiary,70,no,no,yes
52,management,married,tertiary,388,no,no,yes
59,management,married,primary,1727,no,no,yes
38,technician,married,secondary,205,no,no,yes
33,services,single,secondary,2881,no,no,yes
31,technician,single,secondary,846,no,no,yes
40,technician,married,secondary,2266,no,no,yes
28,technician,married,secondary,742,no,no,yes
66,management,married,unknown,2149,yes,no,yes
32,admin.,single,secondary,344,no,no,yes
67,retired,married,primary,1430,no,no,yes
39,unemployed,divorced,secondary,265,yes,no,yes
46,housemaid,married,secondary,38,no,no,yes
54,retired,married,secondary,3538,no,no,yes
47,services,divorced,unknown,973,no,no,yes
45,technician,married,secondary,1831,no,no,yes
63,blue-collar,married,secondary,641,no,no,yes
60,unemployed,married,secondary,1047,no,no,yes
29,management,married,tertiary,8103,no,no,yes
33,services,single,unknown,523,yes,no,yes
48,housemaid,married,secondary,0,no,no,yes
26,technician,single,tertiary,515,no,no,yes
55,admin.,married,secondary,8304,no,no,yes
36,technician,married,secondary,1368,no,no,yes
33,admin.,single,tertiary,272,yes,no,yes
28,blue-collar,single,secondary,-46,yes,no,yes
28,services,single,secondary,168,no,no,yes
31,management,single,tertiary,515,no,no,yes
28,management,single,tertiary,223,yes,no,yes
49,admin.,single,tertiary,228,yes,no,yes
27,blue-collar,single,tertiary,644,no,no,yes
28,admin.,married,secondary,330,no,no,yes
65,admin.,married,secondary,952,no,no,yes
30,technician,single,secondary,1165,no,no,yes
38,admin.,married,secondary,0,yes,no,yes
36,technician,divorced,secondary,2823,yes,no,yes
63,retired,divorced,secondary,1490,no,no,yes
63,retired,married,primary,48,no,no,yes
28,management,single,tertiary,187,no,no,yes
80,retired,married,secondary,8304,no,no,yes
39,blue-collar,married,secondary,276,no,no,yes
31,management,single,tertiary,147,no,no,yes
39,services,married,secondary,323,no,no,yes
30,blue-collar,single,secondary,799,no,no,yes
67,retired,married,unknown,2540,no,no,yes
29,blue-collar,single,secondary,322,no,no,yes
36,management,married,tertiary,495,no,no,yes
24,student,single,unknown,358,no,no,yes
30,technician,single,secondary,2371,no,no,yes
21,student,single,unknown,53,no,no,yes
27,admin.,single,unknown,861,no,no,yes
56,admin.,married,secondary,602,no,no,yes
66,admin.,married,secondary,4041,no,no,yes
71,retired,divorced,primary,275,no,no,yes
26,services,single,tertiary,12,no,no,yes
62,retired,married,primary,1742,no,no,yes
32,self-employed,single,tertiary,46,yes,no,yes
68,retired,divorced,primary,2027,no,no,yes
37,admin.,married,tertiary,3221,no,no,yes
27,management,single,tertiary,1720,no,no,yes
45,technician,single,tertiary,2033,no,no,yes
64,retired,married,secondary,3189,no,no,yes
38,student,divorced,tertiary,2946,no,no,yes
66,housemaid,married,primary,1230,no,no,yes
30,management,single,tertiary,572,no,no,yes
39,technician,single,secondary,1435,no,no,yes
24,technician,single,secondary,403,no,no,yes
49,technician,married,tertiary,1071,no,no,yes
34,management,married,tertiary,3301,yes,no,yes
46,blue-collar,married,secondary,1723,no,no,yes
32,technician,single,tertiary,705,no,no,yes
52,blue-collar,married,secondary,955,no,yes,yes
25,blue-collar,single,secondary,303,no,no,yes
57,management,divorced,tertiary,3287,no,no,yes
64,retired,divorced,primary,109,no,no,yes
33,management,single,tertiary,224,no,no,yes
36,management,single,tertiary,538,no,no,yes
59,management,married,tertiary,5397,no,no,yes
25,student,single,secondary,1957,no,no,yes
43,services,married,secondary,774,no,no,yes
37,self-employed,single,tertiary,1188,no,no,yes
49,management,married,tertiary,1167,yes,yes,yes
42,technician,divorced,tertiary,2611,yes,no,yes
27,blue-collar,single,secondary,3145,no,no,yes
29,technician,single,secondary,825,no,no,yes
37,technician,married,tertiary,122,no,no,yes
47,management,single,tertiary,334,yes,no,yes
38,management,single,tertiary,623,no,no,yes
48,management,single,tertiary,86,no,no,yes
55,housemaid,divorced,primary,976,no,no,yes
39,technician,single,tertiary,393,no,no,yes
49,admin.,single,secondary,293,no,no,yes
68,retired,divorced,primary,476,no,no,yes
45,management,married,unknown,2724,no,no,yes
67,retired,married,primary,2391,no,no,yes
60,retired,married,secondary,11,no,no,yes
31,blue-collar,single,secondary,54,yes,no,yes
58,blue-collar,married,primary,3109,no,no,yes
41,admin.,married,secondary,3126,yes,no,yes
23,services,single,secondary,488,no,no,yes
35,unemployed,married,secondary,978,no,no,yes
33,management,single,tertiary,718,yes,no,yes
32,technician,divorced,tertiary,3255,no,no,yes
48,admin.,single,secondary,1544,yes,no,yes
43,management,single,tertiary,0,no,no,yes
32,technician,single,tertiary,4071,no,no,yes
74,retired,divorced,primary,29080,no,no,yes
32,management,single,tertiary,12569,no,no,yes
63,retired,married,secondary,2896,no,no,yes
28,student,single,secondary,196,no,no,yes
31,services,single,secondary,1027,no,no,yes
26,blue-collar,single,secondary,463,no,yes,yes
31,student,single,secondary,3511,no,no,yes
39,management,divorced,tertiary,224,no,no,yes
28,services,single,secondary,198,no,no,yes
30,technician,single,tertiary,0,yes,no,yes
24,admin.,single,tertiary,674,yes,no,yes
32,management,single,tertiary,623,no,no,yes
46,management,divorced,tertiary,558,no,no,yes
60,technician,married,secondary,259,no,no,yes
37,technician,married,secondary,432,yes,no,yes
48,management,single,tertiary,159,no,no,yes
52,services,married,secondary,657,no,no,yes
29,management,single,tertiary,1808,no,no,yes
71,retired,divorced,unknown,392,no,no,yes
47,management,single,tertiary,6651,no,no,yes
70,retired,married,primary,2795,no,no,yes
28,management,single,tertiary,1414,yes,no,yes
31,self-employed,married,tertiary,2666,no,no,yes
80,retired,married,secondary,668,no,no,yes
29,management,single,tertiary,502,no,no,yes
23,student,single,secondary,1809,no,no,yes
34,services,single,secondary,267,no,no,yes
69,retired,married,secondary,2473,no,no,yes
19,student,single,secondary,372,no,no,yes
35,blue-collar,single,unknown,484,no,no,yes
38,admin.,married,secondary,1767,yes,no,yes
32,technician,single,unknown,491,no,no,yes
50,unknown,married,unknown,558,no,no,yes
27,technician,single,secondary,337,no,no,yes
53,admin.,single,secondary,654,no,no,yes
35,self-employed,married,tertiary,2427,no,no,yes
43,admin.,single,secondary,386,no,no,yes
30,self-employed,single,tertiary,251,no,no,yes
57,retired,married,secondary,1044,no,no,yes
31,management,single,tertiary,2907,yes,no,yes
65,retired,divorced,secondary,828,no,no,yes
25,blue-collar,single,secondary,1857,yes,no,yes
33,management,single,tertiary,1962,no,no,yes
79,retired,divorced,primary,2787,no,no,yes
24,student,single,secondary,1123,no,no,yes
27,technician,single,secondary,643,no,no,yes
36,management,single,unknown,62,no,no,yes
26,blue-collar,single,secondary,2007,no,no,yes
51,management,married,tertiary,3463,no,yes,yes
70,retired,divorced,primary,482,no,no,yes
23,student,single,secondary,1298,no,no,yes
41,technician,single,secondary,5329,no,no,yes
53,technician,married,primary,6181,no,no,yes
86,retired,married,primary,1255,no,no,yes
27,student,single,unknown,132,no,no,yes
34,technician,single,tertiary,2733,no,no,yes
68,retired,divorced,secondary,4189,no,no,yes
35,management,married,secondary,724,yes,no,yes
28,student,single,secondary,205,no,no,yes
66,retired,married,secondary,154,no,no,yes
30,management,single,tertiary,232,no,no,yes
60,retired,divorced,tertiary,979,yes,no,yes
46,admin.,married,secondary,5021,no,no,yes
68,retired,married,secondary,2469,yes,no,yes
63,blue-collar,married,secondary,180,no,no,yes
29,student,single,secondary,658,no,no,yes
35,services,married,secondary,2918,no,yes,yes
64,retired,married,secondary,588,no,no,yes
22,student,single,primary,423,no,no,yes
19,student,single,secondary,302,no,no,yes
31,management,divorced,tertiary,414,no,yes,yes
48,unemployed,married,secondary,817,no,no,yes
33,technician,married,secondary,183,no,no,yes
34,technician,married,secondary,806,no,no,yes
46,technician,married,secondary,9299,no,no,yes
60,admin.,married,unknown,478,no,no,yes
36,management,divorced,tertiary,1057,no,no,yes
32,entrepreneur,married,tertiary,762,no,no,yes
45,management,married,tertiary,31472,no,no,yes
44,management,single,tertiary,1090,no,no,yes
57,retired,married,secondary,3738,yes,no,yes
29,admin.,single,secondary,1277,no,no,yes
31,unemployed,divorced,tertiary,756,no,no,yes
54,blue-collar,married,secondary,1636,no,no,yes
49,management,divorced,tertiary,300,no,no,yes
35,admin.,single,secondary,321,no,no,yes
24,admin.,single,secondary,1295,no,no,yes
43,management,married,tertiary,839,no,no,yes
34,unemployed,single,tertiary,1974,no,no,yes
27,admin.,married,tertiary,2855,no,no,yes
54,management,divorced,tertiary,5475,no,no,yes
38,management,married,tertiary,536,yes,no,yes
34,technician,single,secondary,1279,yes,no,yes
93,retired,married,unknown,775,no,no,yes
36,management,married,tertiary,203,no,no,yes
33,admin.,single,tertiary,146,no,no,yes
35,management,married,tertiary,4124,yes,no,yes
41,admin.,married,secondary,14968,no,no,yes
36,technician,divorced,secondary,1451,yes,no,yes
30,student,single,tertiary,3026,no,no,yes
41,technician,single,tertiary,431,no,no,yes
29,management,single,tertiary,985,yes,no,yes
82,retired,married,primary,243,no,no,yes
37,technician,married,secondary,1707,yes,no,yes
46,admin.,married,unknown,5511,no,no,yes
44,self-employed,divorced,secondary,8,no,no,yes
61,self-employed,married,tertiary,10861,no,no,yes
33,management,single,tertiary,373,no,yes,yes
23,management,single,tertiary,1807,no,no,yes
45,technician,married,secondary,2776,yes,no,yes
61,retired,married,secondary,1058,no,no,yes
40,admin.,married,secondary,0,no,no,yes
82,housemaid,divorced,primary,1381,no,no,yes
27,technician,single,secondary,204,no,no,yes
26,technician,married,secondary,267,yes,no,yes
27,student,single,tertiary,311,no,no,yes
53,blue-collar,married,primary,306,no,no,yes
54,management,married,tertiary,752,no,no,yes
64,retired,married,secondary,1574,no,no,yes
57,technician,married,tertiary,1181,no,no,yes
31,management,single,tertiary,1761,yes,no,yes
61,admin.,married,unknown,4629,yes,no,yes
35,unemployed,single,tertiary,154,no,no,yes
77,retired,married,secondary,4112,no,no,yes
36,services,married,secondary,11650,yes,no,yes
32,management,married,tertiary,6138,no,no,yes
61,management,married,unknown,264,no,no,yes
69,retired,single,tertiary,2144,no,no,yes
69,technician,married,tertiary,482,no,no,yes
34,admin.,married,tertiary,0,no,no,yes
45,management,single,tertiary,4831,no,no,yes
64,retired,married,primary,12067,no,no,yes
35,technician,single,secondary,1227,no,no,yes
22,student,single,unknown,1232,no,no,yes
34,management,single,tertiary,275,no,no,yes
34,management,married,secondary,369,no,no,yes
55,technician,married,unknown,240,yes,no,yes
53,admin.,single,secondary,2398,yes,no,yes
63,management,married,tertiary,2785,no,no,yes
37,management,single,tertiary,62,yes,no,yes
29,student,single,secondary,1377,yes,no,yes
29,student,single,tertiary,163,no,no,yes
38,management,married,tertiary,1199,no,no,yes
62,retired,married,secondary,569,no,no,yes
34,technician,married,secondary,0,yes,no,yes
56,services,married,secondary,1989,no,no,yes
48,housemaid,single,primary,46,no,no,yes
42,management,married,tertiary,372,yes,no,yes
68,retired,married,tertiary,2812,no,no,yes
43,blue-collar,married,primary,2952,no,no,yes
62,retired,married,secondary,569,no,no,yes
68,retired,married,tertiary,2812,no,no,yes
38,management,married,tertiary,1199,no,no,yes
63,entrepreneur,married,secondary,3904,no,no,yes
48,admin.,married,secondary,156,no,no,yes
45,admin.,married,secondary,205,no,no,yes
59,unemployed,married,secondary,1625,no,no,yes
35,unemployed,single,tertiary,415,no,no,yes
32,management,married,tertiary,1812,no,no,yes
93,retired,married,unknown,775,no,no,yes
33,technician,married,secondary,180,no,no,yes
48,housemaid,single,primary,46,no,no,yes
38,services,married,secondary,4017,no,no,yes
29,management,single,tertiary,437,no,no,yes
38,technician,married,secondary,318,no,no,yes
41,technician,single,tertiary,1646,yes,no,yes
57,technician,divorced,secondary,470,no,no,yes
53,management,married,tertiary,3591,yes,no,yes
56,management,divorced,tertiary,2037,no,no,yes
33,technician,single,secondary,2979,no,no,yes
41,management,married,tertiary,1092,no,no,yes
34,admin.,divorced,secondary,661,yes,no,yes
29,housemaid,single,tertiary,2196,no,no,yes
34,management,single,tertiary,417,yes,no,yes
21,entrepreneur,single,tertiary,2077,no,no,yes
37,management,married,tertiary,2283,no,no,yes
33,student,married,secondary,1536,no,no,yes
45,management,married,secondary,446,no,no,yes
61,blue-collar,married,primary,5,no,no,yes
22,student,single,secondary,216,no,no,yes
37,management,married,secondary,565,no,no,yes
45,admin.,married,secondary,476,no,no,yes
35,admin.,single,secondary,-32,no,yes,yes
28,blue-collar,single,secondary,1348,yes,no,yes
31,blue-collar,single,secondary,228,no,no,yes
62,management,married,tertiary,1859,no,no,yes
47,management,married,tertiary,2306,no,no,yes
57,admin.,married,unknown,2038,no,no,yes
60,technician,married,secondary,824,yes,no,yes
25,student,single,secondary,348,no,no,yes
40,blue-collar,married,secondary,1515,yes,no,yes
33,management,married,tertiary,1514,no,no,yes
53,unemployed,married,secondary,94,no,no,yes
30,technician,single,tertiary,2325,no,no,yes
36,student,single,unknown,417,no,no,yes
56,technician,divorced,secondary,3450,no,no,yes
38,entrepreneur,single,secondary,2543,no,no,yes
29,admin.,single,secondary,464,no,no,yes
61,retired,married,secondary,1853,no,no,yes
62,blue-collar,married,secondary,272,no,no,yes
24,student,single,secondary,1925,no,no,yes
65,entrepreneur,married,tertiary,2331,no,no,yes
70,retired,married,primary,324,no,no,yes
60,technician,married,secondary,116,no,no,yes
30,student,single,secondary,1779,no,no,yes
51,management,married,tertiary,346,no,no,yes
36,self-employed,single,tertiary,353,no,no,yes
42,management,married,tertiary,27696,no,no,yes
58,management,married,secondary,2155,no,yes,yes
43,blue-collar,married,secondary,413,yes,no,yes
77,retired,married,primary,2590,no,no,yes
34,blue-collar,married,secondary,320,yes,no,yes
35,blue-collar,married,secondary,1454,yes,no,yes
39,blue-collar,married,secondary,1382,yes,no,yes
35,self-employed,married,tertiary,2427,no,no,yes
41,admin.,married,secondary,2498,no,no,yes
25,student,single,unknown,1003,no,no,yes
51,blue-collar,married,secondary,2007,yes,no,yes
48,unemployed,married,secondary,926,no,no,yes
26,unemployed,single,secondary,632,no,no,yes
55,unknown,married,secondary,2206,no,no,yes
